Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
180	200.000	0.028	200.000	1.938	3.917	1.328	1771524137.609	1771524137.609	1771524137.609	1771524137.609	1771524137.609	1771524137.609
181	200.000	-0.000	199.996	5.346	1.202	1.328	1771524137.791	1771524137.791	1771524137.791	1771524137.791	1771524137.791	1771524137.791
182	200.000	-0.009	199.999	1.956	5.093	1.328	1771524138.060	1771524138.060	1771524138.060	1771524138.060	1771524138.060	1771524138.060
183	200.000	-0.016	200.001	3.816	4.157	1.328	1771524138.299	1771524138.299	1771524138.299	1771524138.299	1771524138.299	1771524138.299
184	200.000	-0.026	199.998	4.835	1.254	1.328	1771524138.538	1771524138.538	1771524138.538	1771524138.538	1771524138.538	1771524138.538
185	200.000	0.022	200.001	1.777	5.191	1.328	1771524138.769	1771524138.769	1771524138.769	1771524138.769	1771524138.769	1771524138.769
186	200.000	-0.011	200.001	4.212	4.289	1.328	1771524138.986	1771524138.986	1771524138.986	1771524138.986	1771524138.986	1771524138.986
187	200.000	0.024	199.998	3.609	1.335	1.328	1771524139.236	1771524139.236	1771524139.236	1771524139.236	1771524139.236	1771524139.236
188	200.000	0.016	200.001	2.246	0.621	1.328	1771524139.433	1771524139.433	1771524139.433	1771524139.433	1771524139.433	1771524139.433
189	200.000	-0.011	200.002	5.054	4.371	1.328	1771524139.654	1771524139.654	1771524139.654	1771524139.654	1771524139.654	1771524139.654
190	200.000	-0.025	200.001	1.138	1.647	1.328	1771524139.915	1771524139.915	1771524139.915	1771524139.915	1771524139.915	1771524139.915
191	200.000	-0.039	200.001	4.804	1.056	1.328	1771524140.117	1771524140.117	1771524140.117	1771524140.117	1771524140.117	1771524140.117
